in_repo,Calc,Smiles,path_l_geom,path_l_freq,"** replace the ""~/"" with the local directory to the DFT folder"
Y,formate,[CH]([O-])=[O],DFT_files/formate,DFT_files/formate,
Y,oxalate,[O-][C](=[O])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,O2,[O][O],DFT_files/formate,DFT_files/formate,
Y,hydronium,[OH3+],DFT_files/formate,DFT_files/formate,
Y,water,[OH2],DFT_files/formate,DFT_files/formate,
Y,hydrogen_peroxide,[OH][OH],DFT_files/formate,DFT_files/formate,
Y,OOH,[O][OH],DFT_files/formate,DFT_files/formate,
Y,CO2,[O]=[C]=[O],DFT_files/formate,DFT_files/formate,
Y,formic_acid,[CH]([OH])=[O],DFT_files/formate,DFT_files/formate,
Y,oxalic_acid,[OH][C](=[O])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,OH,[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxylate_hydrate,[OH][CH]([OH])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,formic_acid_rad,[C]([OH])=[O],DFT_files/formate,DFT_files/formate,
Y,glyoxylate_hydrate_rad,[OH][C]([OH])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,glyoxylic_acid_hydrate_rad,[OH][C]([OH])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxal_dihydrate_rad,[OH][CH]([OH])[C]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxal_dihydrate,[OH][CH]([OH])[CH]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,hydrogen_oxalate,[OH][C](=[O])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,glyoxylic_acid_hydrate,[OH][CH]([OH])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,methandiol_rad,[CH]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,hydroxide,[OH-],DFT_files/formate,DFT_files/formate,
Y,carboxylate,[C]([O-])=[O],DFT_files/formate,DFT_files/formate,
Y,superoxide,[O][O-],DFT_files/formate,DFT_files/formate,
Y,bicarbonate,[O-][C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,carbonate_radical,[O-][C](=[O])[O],DFT_files/formate,DFT_files/formate,
Y,carbonate,[O-][C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,gloxylate_dehydrate,[O]=[CH][C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,gloxylic_acid_dehydrate,[O]=[CH][C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxal_monohydrate,[OH][CH]([OH])[CH]=[O],DFT_files/formate,DFT_files/formate,
Y,gly_peroxyl,[OH][CH]([OH])[CH]([O][O])[OH],DFT_files/formate,DFT_files/formate,
Y,gly_oxyl_radical,[OH][CH]([OH])[CH]([O])[OH],DFT_files/formate,DFT_files/formate,
Y,TS_OOH_disprop,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,DFT_files/formate,DFT_files/formate,
Y,TS_OH_OOH_H_transfer,[OH]+[O][OH]+->[OH2]+[O][O]++,DFT_files/formate,DFT_files/formate,
Y,TS_HT_glyoxal_hydrate_OH ,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,DFT_files/formate,DFT_files/formate,
Y,TS_HT_glyoxylic_acid_hydrate_OH,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,DFT_files/formate,DFT_files/formate,
Y,TS_HT_glyoxylate_hydrate_OH ,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_OH_OH_coupling,[OH]+[OH]+->[OH][OH]+++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_1,[OH][CH]([OH])[C](=[O])[OH]+[OH2]+->[OH][CH]([OH])[C](=[O])[O-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_2,[OH][C](=[O])[C](=[O])[OH]+[OH2]+->[OH][C](=[O])[C](=[O])[O-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_3,[OH][C](=[O])[C](=[O])[O-]+[OH2]+->[O-][C](=[O])[C](=[O])[O-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_4,[CH]([OH])=[O]+[OH2]+->[CH]([O-])=[O]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_5,[OH2]+[OH2]+->[OH-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_acid_base_equil_6,[O][OH]+[OH2]+->[O][O-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
Y,TS_OH_HT_formic_acid,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,DFT_files/formate,DFT_files/formate,
Y,TS_OH_HT_formate,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_electron_transfer_COOn_O2,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,DFT_files/formate,DFT_files/formate,
Y,TS_OH_H2O2_transfer,[OH]+[OH][OH]+->[OH2]+[O][OH]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_oxalate_OH_e_transfer,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,DFT_files/formate,DFT_files/formate,
placeholder,TS_hydrogen_oxalate_e_transfer,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,DFT_files/formate,DFT_files/formate,
Y,TS_oxalic_acid_frag_direct,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,DFT_files/formate,DFT_files/formate,
placeholder,TS_CO2_hydration,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,DFT_files/formate,DFT_files/formate,
Y,TS_hydrogen_carbonate_H_transfer_OH,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_hydrogen_carbonate_H_transfer_H2O2,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_bicarbonate_deprot,[O-][C](=[O])[OH]+[OH2]+->[O-][C](=[O])[O-]+[OH3+]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_glyoxylic_acid_dehydrate,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_glyoxylic_acid_dehydrate_deprot,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_glyoxylate_H2O2_reaction_frag,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,DFT_files/formate,DFT_files/formate,
placeholder,TS_glyoxal_dihydrate_dehydrate,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_gly_peroxyl_disprop,[OH][CH]([OH])[CH]([O][O])[OH]+[OH][CH]([OH])[CH]([O][O])[OH]+->[OH][CH]([OH])[CH]([O])[OH]+[OH][CH]([OH])[CH]([O])[OH]+[O][O]+,DFT_files/formate,DFT_files/formate,
Y,TS_gly_oxyl_frag,[OH][CH]([OH])[CH]([O])[OH]++->[CH]([OH])=[O]+[CH]([OH])[OH]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_superoxide_minus_HT,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,DFT_files/formate,DFT_files/formate,
placeholder,TS_O2_add_glyoxal_hyd_rad,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,DFT_files/formate,DFT_files/formate,
Y,TS_glyoxylic_acid_rad_O2_add,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,DFT_files/formate,DFT_files/formate,
Y,TS_glyoxylate_hydrate_rad_O2_add,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_O2_add_dihydroxy_methyl_radical,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,DFT_files/formate,DFT_files/formate,
Y,TS_O2_add_formic_acid_rad,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,DFT_files/formate,DFT_files/formate,
placeholder,TS_O2n_add_glyoxal_monohydrate,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,DFT_files/formate,DFT_files/formate,